movie_id,average_rating,vote_count,rating_distribution
1087192,8.087,1193,"{""5"": 0, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0, ""10"": 0}"
1071585,7.681,458,"{""5"": 0, ""6"": 2, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
552524,7.284,1030,"{""5"": 0, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1, ""10"": 0}"
1311031,6.447,19,"{""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
1315986,6.823,31,"{""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
1061474,7.448,1124,"{""5"": 0, ""6"": 2, ""7"": 2, ""8"": 2, ""9"": 1, ""10"": 0}"
1011477,7.231,526,"{""5"": 0, ""6"": 2, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
1119878,7.025,139,"{""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
1124619,5.815,27,"{""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
617126,7.322,214,"{""5"": 0, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0, ""10"": 0}"
541671,7.5,1131,"{""5"": 0, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 0, ""10"": 1}"
1234821,6.4,783,"{""5"": 4, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 0, ""10"": 0}"
1374534,5.826,92,"{""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
803796,8.528,774,"{""5"": 0, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0, ""10"": 0}"
986056,7.417,1971,"{""5"": 0, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 3, ""10"": 2}"
574475,7.187,1729,"{""5"": 0, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2, ""10"": 1}"
846422,6.062,538,"{""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
749170,6.946,539,"{""5"": 1, ""6"": 0, ""7"": 3, ""8"": 0, ""9"": 0, ""10"": 0}"
968171,6.056,9,"{""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}"
911430,7.6,882,"{""5"": 0, ""6"": 0, ""7"": 1, ""8"": 3, ""9"": 0, ""10"": 1}"
